capable, proficient
qualified, capable
qualified, skilled
qualified, proficient
skilled, capable
skilled, qualified
skilled, proficient
proficient, capable
proficient, qualified
proficient, skilled
okay, incredible
okay, awesome
okay, terrific
okay, marvelous
incredible, okay
incredible, awesome
incredible, terrific
incredible, marvelous
awesome, okay
awesome, incredible
awesome, terrific
awesome, marvelous
terrific, okay
terrific, incredible
terrific, awesome
terrific, marvelous
marvelous, okay
marvelous, incredible
marvelous, awesome
marvelous, terrific
awful, shitty
shitty, awful
content, satisfied
content, pleased
satisfied, content
satisfied, pleased
pleased, content
pleased, satisfied
adequate, fine
adequate, fitting
