lowest, smaller
lovely, lovelier
subtle, subtler
latest, latter
heavy, heavier
simple, simplest
short, shortest
greater, highest
weak, weaker
grave, gravest
latest, newer
latest, later
strange, stranger
far, farther
good, best
stronger, largest
lucky, luckier
highest, earlier
ever, earliest
bigger, highest
true, truer
little, least
broader, largest
stronger, highest
modest, lower
wider, widest
greater, broadest
much, most
close, closest
simple, simpler
more, most
pure, purer
few, fewer
honest, fairer
longer, longest
small, smallest
smaller, lowest
best, brighter
wide, wider
cold, colder
