cute, gorgeous
gorgeous, cute
known, noteworthy
known, celebrated
noteworthy, known
noteworthy, celebrated
celebrated, known
celebrated, noteworthy
intact, sturdy
sturdy, intact
big, vast
big, extensive
vast, big
vast, extensive
extensive, big
extensive, vast
hard, problematic
problematic, hard
annoying, obnoxious
obnoxious, annoying
sad, miserable
sad, terrible
miserable, sad
miserable, terrible
terrible, sad
terrible, miserable
fair, fairer
fair, fairest
fair, beautiful
fairer, fair
fairer, fairest
fairer, beautiful
fairest, fair
fairest, fairer
fairest, beautiful
beautiful, fair
beautiful, fairer
beautiful, fairest
first, second
first, third
