nearby, adjacent
near, nearby
near, close
near, adjacent
close, nearby
close, near
close, adjacent
adjacent, nearby
adjacent, near
adjacent, close
sufficient, good
sufficient, wide
sufficient, full
good, sufficient
good, wide
good, full
wide, sufficient
wide, good
wide, full
full, sufficient
full, good
full, wide
real, solemn
real, serious
real, grave
solemn, real
solemn, serious
solemn, grave
serious, real
serious, solemn
serious, grave
grave, real
grave, solemn
grave, serious
interesting, intriguing
interesting, amusing
interesting, entertaining
interesting, fascinating
interesting, exciting
intriguing, interesting
