higher, highest
wise, wiser
larger, highest
proud, prouder
modest, smaller
lesser, smallest
quicker, fastest
bigger, biggest
much, more
noble, nobler
fast, faster
deep, deeper
harder, hardest
larger, broadest
weird, weirder
rare, rarer
happy, happiest
sound, sounder
lesser, lowest
early, earliest
lowest, slower
warm, warmest
greatest, older
little, less
proper, best
tough, tougher
quiet, quieter
fast, fastest
old, older
broad, broader
larger, biggest
healthy, healthier
least, little
modest, milder
nice, nicer
lower, smallest
broader, broadest
strong, strongest
busy, busier
high, highest
