overweight, obese
chubby, overweight
chubby, fat
chubby, obese
fat, overweight
fat, chubby
fat, obese
obese, overweight
obese, chubby
obese, fat
uncomfortable, uneasy
uncomfortable, painful
uneasy, uncomfortable
uneasy, painful
painful, uncomfortable
painful, uneasy
friendly, cordial
friendly, warm
friendly, intimate
cordial, friendly
cordial, warm
cordial, intimate
warm, friendly
warm, cordial
warm, intimate
intimate, friendly
intimate, cordial
intimate, warm
cool, cold
cool, frigid
cool, icy
cool, frozen
cold, cool
cold, frigid
cold, icy
cold, frozen
frigid, cool
frigid, cold
frigid, icy
frigid, frozen
