least, less
green, greener
young, youngest
faster, quickest
lower, lowest
dense, denser
youngest, younger
free, freest
clear, clearest
warm, warmer
rich, richer
firm, firmer
upper, highest
greater, greatest
bright, brighter
best, good
dark, darkest
greatest, higher
easy, easiest
great, greater
biggest, bigger
honest, kosher
deeper, deepest
stronger, greatest
early, earlier
new, newest
poor, poorer
strong, stronger
biggest, stronger
low, lower
cheap, cheaper
nicer, best
closer, closest
poor, poorest
easier, simplest
many, most
long, longest
larger, greatest
good, better
strict, strictest
