functioning, efficient
efficient, functioning
low, limited
low, scarce
limited, low
limited, scarce
scarce, low
scarce, limited
cute, pretty
cute, lovely
cute, lovelier
cute, breathtaking
pretty, cute
pretty, lovely
pretty, lovelier
pretty, breathtaking
lovely, cute
lovely, pretty
lovely, lovelier
lovely, breathtaking
lovelier, cute
lovelier, pretty
lovelier, lovely
lovelier, breathtaking
breathtaking, cute
breathtaking, pretty
breathtaking, lovely
breathtaking, lovelier
costly, expensive
costly, exorbitant
expensive, costly
expensive, exorbitant
exorbitant, costly
exorbitant, expensive
lousy, miserable
lousy, horrible
miserable, lousy
miserable, horrible
horrible, lousy
horrible, miserable
