awaited, notably
functionally, shitless
brutal, grave
inexcusable, rapid
sluggish, well-paid
moist , stupide
lighter, stricter
delicate , germane
relatively, skinny
merry, seminal
exhaustive, overwhelming 
adorable , motivated
overjoyed, rock-hard
iilegal, traded
breathe, relatively
self-supporting, twenty
secure, two-pronged
cleanest, uppermost
beneficial, lastly
multicultural, streamlined
creditable, excited 
especially, perverse
almost, polite
conflicting, honorable
alien, managed
payable, regrettable
immersive, lesser
cost-effective, protracted
humane, state-owned
bad , unspecified
accelerated, cruellest
cynical, jack
nonsensical, unforgiving
importantly, loyal
designed, spotless
tolerable, true
danger, therefore
invaluable, minimal
fourteen, illogical
divine, wondrous
apolitical, favorable
determinative, stay
captain, thus
short-sighted, wretched
asleep, supported
many, off-putting
exorbitant, life-threatening
destabilizing, powerless
shallow, specifically
irrational, removed
permissible, profound
psyched, seminal
near , younger
human , wide
american , far-ranging
degraded, suck
naked , tailor-made
bright , deadly
hiv-positive, snotty
distraught, traditional
crucial, wasted
controversial, spontaneous
-so, primarily
sporadic, tedious
greatest, registered
fearful, prudent
sappy, state-of-the-art
fourteen, fraudulent
expressed, unequivocal
cost-shared, unimportant
environmental, non-partisan
intense, sophisticated
accepted, s-sorry
adaptive, unanimous
complete, persuasive
generated, impaired
non-exhaustive, underage
amiss, unachievable
overdue, small 
secured, sticky
closer, hungry 
knowledgeable, negligeable
mainly, positively
frequent, varied
estimated, yummy
favoured, rather
basically, wacko
likable, results-oriented
do-able, founded
fit, goofy
astounding, ravenous
induced, jeopardized
dispute, foutu
apart, insatiable
detrimental, legibly
establishment, identified
dumb , freak
bureaucratic, founded
high-quality, naughty
justified, lucid
ineligible, them
recently, self-contained
freaky, potential
coherent, self-governed
nosey, subject
random, stress-related
muchfor, unwell
counter, infamous
doubtful, right 
apolitical, heavy-handed
re-routed, self-employed
loaded, warm
emerged, remarkable 
do-able, illiterate
glorious, junior
cute , pointless
costlier, in-progress
bright , eager
pronounced, spectacular
opportunity, same
non-toxic, tighter
equal, italian
action-oriented, enormously
gullible, huh
implementable, strong
finest, meagre
grown, know
moist , self-serving
holistic, phenomenal 
interlinked, valid
processing, rich
pretend, usually
bankrupt, problematical
geographical, ineligible
drunken, latest
normally, subtle 
disagreeable, pleased
bold , vital
prominent, work
longterm, unquestionable
indebted, weii
