smarter, sound
longest, safer
dry, green
light, pretty
deep, narrow
thinner, true
good, warm
darker, slow
rarest, warmest
tougher, truer
light, simpler
deader, ever
darkest, many
safe, well
darkest, rarest
fewer, safe
newer, stricter
cheaper, nobler
cold, greener
earlier, more
clearer, fair
freer, rarest
biggest, rarer
deader, lovelier
easy, long
fewer, proud
cuter, fairest
fat, tougher
happiest, little
another, quickest
easiest, wider
cruellest, luckier
deep, new
hotter, strictest
cruel, strict
darkest, grimmer
quick, wiser
good, stricter
clearer, later
easy, happier
happiest, longest
happier, richer
more, pure
hard, wide
closest, lucky
larger, taller
early, longest
nicer, quiet
lesser, worst
latter, lowest
less, newer
cooler, fewer
freer, great
greener, taller
hard, nobler
bright, healthy
cruel, later
dark, well
easiest, nice
firmer, younger
better, quieter
closer, latter
cheap, hard
much, noble
better, bright
far, honest
quick, warm
busier, thinner
deepest, truer
deader, heavy
deep, true
busier, rarer
closest, interest
greatest, smart
cute, healthy
honest, newest
harder, rarer
poorest, smarter
earlier, warmer
grimmer, new
fewer, smarter
cheaper, poorer
cold, tall
freer, stricter
strictest, warm
harder, most
rare, weaker
bigger, heavy
honest, stronger
highest, strong
busier, weaker
broadest, firm
deader, stricter
darker, louder
dark, quickest
modest, poor
prouder, weird
prouder, strictest
clear, fat
large, weird
clearest, short
subtle, surer
clear, clearest
cruellest, poorer
lowest, sure
newer, prettier
broadest, safest
hardest, newer
louder, youngest
big, safest
grimmer, narrow
clear, darker
hot, quick
poor, stupid
denser, narrower
greatest, happiest
closest, loud
bad, cold
grimmer, lovely
true, wide
light, old
bright, cool
nice, poorest
dark, simple
greater, least
lovely, sounder
luckier, modest
freest, lowest
fast, hardest
bigger, grimmer
cruellest, happiest
noble, truer
drier, poor
fast, warmest
newest, quick
greatest, widest
louder, wide
least, pretty
clearest, grim
freest, tough
dry, worse
another, fairest
deep, thinner
busy, greater
harder, subtler
old, tougher
greatest, poorer
latter, wise
older, safer
free, wide
fastest, higher
shortest, smart
many, weak
earliest, grim
cooler, slow
happier, hardest
bad, more
faster, fastest
interest, small
green, latest
closer, luckier
rarer, weaker
large, poorer
fastest, rarest
cold, richer
heavy, longest
greater, poorest
dark, quicker
milder, subtler
easiest, rare
earliest, pure
interest, short
few, rarest
short, warmer
best, grim
darker, warmer
earlier, farther
darker, smart
bright, sound
busy, fastest
fewer, proper
hot, weakest
fairer, strictest
close, much
easiest, grave
dry, grimmer
dead, prettier
broadest, clear
greater, simple
healthy, tough
hot, lighter
fastest, sound
new, simpler
quieter, warmer
cute, sound
busy, heavier
easiest, tougher
nicer, nicer
shortest, stupider
cool, shorter
cool, safer
healthier, nobler
farther, weakest
earlier, large
deader, free
earlier, later
broader, newer
safest, wide
fast, purer
happier, proud
modest, smarter
denser, prouder
cheap, drier
poor, wide
earliest, latter
tougher, youngest
interest, poorest
bad, cooler
farther, strongest
late, stronger
busier, later
greater, prettier
fairer, lovely
nobler, safest
large, worse
rich, small
grimmer, happier
greatest, lower
well, wiser
cool, sounder
kosher, youngest
good, lowest
greater, greatest
deader, largest
broader, more
darker, darker
earlier, richest
lowest, wide
fairer, higher
quicker, rarest
harder, nice
modest, upper
richest, surer
broader, prouder
larger, short
farther, large
hotter, noble
cute, drier
cool, hotter
clear, early
simplest, weirder
poor, widest
lowest, rare
poorer, safer
easy, quieter
honest, later
better, colder
stronger, weak
cold, cool
grim, simplest
green, late
finest, quick
simplest, worse
denser, ever
fat, slower
dry, nicer
little, taller
older, wiser
grave, later
rich, safer
lovelier, pretty
less, stronger
busy, weirder
finest, old
healthy, wise
quick, smart
modest, slow
dark, short
cheaper, prettier
firmer, free
latest, richest
modest, weak
high, noble
freer, newest
lucky, worst
darker, milder
clearer, simplest
poorer, warmer
lesser, sure
latter, strange
harder, newest
greener, sound
dead, poor
healthier, richer
healthier, prouder
bright, quicker
few, warmest
good, simplest
firm, proper
healthier, narrow
far, warmer
closer, rarer
darkest, worse
better, kosher
simpler, subtler
narrow, quiet
shortest, warmest
biggest, noble
free, loud
dead, wise
greener, slow
poor, rarest
earlier, noble
honest, less
heavy, longer
grim, safer
brighter, stupid
another, wider
prettier, upper
closest, latter
nice, short
early, many
big, larger
darkest, rare
cold, strictest
honest, safest
hotter, larger
milder, younger
many, quicker
far, richest
cheaper, fairer
lovely, proud
grimmer, worst
hardest, largest
rare, stranger
firmer, short
farther, happier
some, weirder
larger, quieter
early, fairest
proud, weaker
broadest, dense
dense, sure
poorest, small
easier, honest
earliest, quieter
clear, longer
many, worst
gravest, milder
harder, prouder
fast, well
firm, tough
newest, nice
few, much
earlier, short
faster, strange
grimmer, stricter
finest, little
best, much
grave, lowest
kosher, tough
earlier, thinner
largest, quicker
brighter, few
milder, weakest
grave, milder
happy, wise
deeper, fewer
richer, smart
clearest, interest
clearer, small
biggest, lovelier
freer, greatest
busy, wide
cheaper, purer
fastest, wise
broadest, larger
cruel, darker
broad, smallest
better, richer
simple, tougher
great, truer
hot, worse
deeper, fatter
gravest, nicer
new, slow
true, wider
fewer, larger
luckier, poor
biggest, easier
closest, simple
bigger, wiser
fewer, richest
broadest, tough
deeper, greatest
rarer, well
earliest, thin
greener, simpler
fat, tough
best, prettier
closer, hardest
great, stronger
finest, prettier
deepest, pure
brighter, clearest
highest, lovelier
simple, slow
dark, dark
young, younger
happiest, wiser
broader, grimmer
light, lovelier
drier, higher
purer, stupid
pretty, sure
drier, young
faster, warm
rare, simplest
busy, lesser
firm, stricter
cute, happiest
cuter, lower
faster, poor
clearer, freer
long, younger
far, lowest
busy, cuter
dense, smallest
lovelier, much
early, worst
old, sounder
big, dead
deader, least
grim, stronger
dry, simpler
lower, nobler
dead, worst
finest, wider
cool, proud
lovely, noble
strongest, wise
largest, low
shortest, warmer
longer, milder
tough, weakest
fewer, subtler
broad, richest
loud, strictest
darker, dense
interest, weird
rich, stupid
early, pure
simplest, well
better, nobler
cold, thin
clearest, clearest
cold, many
long, lovely
nice, richest
strange, stupider
broadest, finest
healthy, proper
deep, higher
quieter, smarter
firmer, thinner
clearest, darker
lighter, warm
louder, tall
prouder, wiser
clearest, fairer
grim, much
grim, sounder
subtler, warm
fairest, prouder
most, rarer
modest, simpler
grim, quiet
weak, younger
sounder, wise
firmer, largest
bright, wider
best, best
gravest, nice
closer, cool
dark, strange
lovely, lovely
many, narrow
honest, quieter
smart, stupider
greener, healthy
fastest, good
biggest, long
deepest, longer
dry, rare
pretty, smart
heavy, lowest
cooler, little
many, subtler
old, young
strange, upper
drier, happier
bright, rare
good, weird
deeper, taller
dense, fewer
dense, kosher
many, wiser
later, taller
close, grave
firm, green
far, newer
big, bigger
drier, few
short, younger
simple, small
freer, taller
colder, small
broadest, cooler
cruellest, rarest
fairer, light
easier, rarest
newest, proper
darker, drier
deep, firm
freer, luckier
best, close
hard, lesser
colder, firm
deep, less
greatest, strictest
sound, worse
deader, prettier
honest, weaker
earlier, harder
quicker, stronger
long, worse
best, healthy
newest, older
cold, safer
cold, thinner
lesser, most
stricter, upper
ever, fairest
busier, hot
fastest, stupider
early, younger
lighter, quickest
few, simplest
nicer, weird
lesser, sound
light, wise
easy, higher
cheaper, largest
slower, true
closer, lowest
cold, earliest
fastest, simplest
longest, stranger
sounder, warm
cool, fair
clear, warmest
more, strictest
pure, weird
ever, pretty
freer, weirder
nice, small
happy, simplest
easy, farther
strictest, true
busier, newer
darkest, youngest
cheap, lesser
firmer, harder
prouder, subtler
honest, truer
denser, healthier
proper, slower
cuter, fat
dry, newest
deeper, weirder
modest, smaller
cool, high
best, lovelier
dry, early
warm, young
cuter, purer
proper, warmer
large, nicer
few, hard
darker, nicer
denser, younger
ever, fastest
best, subtle
cheaper, grimmer
interest, much
darkest, deepest
broadest, easy
brighter, fast
cool, wide
milder, pure
cuter, tougher
hot, little
fatter, harder
better, upper
small, sure
quiet, safest
sound, tough
lesser, nobler
greatest, richer
grim, stupider
broad, hotter
healthier, high
subtle, widest
fat, firmer
green, stupid
dry, quick
greater, prouder
freest, truer
long, lowest
dense, strongest
newer, warmest
cuter, surer
grim, widest
busy, dry
great, greener
nice, taller
deepest, larger
least, rarer
thinner, wider
latest, smarter
honest, worst
best, rarest
strictest, weak
greatest, longer
broadest, younger
dark, darker
better, freer
cool, lesser
busy, nicer
best, clearer
busier, lucky
dry, lowest
proper, short
few, sure
dry, weirder
loud, weakest
dry, easy
low, quicker
larger, rarest
dead, stricter
dark, weird
early, least
less, rich
easy, warmer
younger, younger
few, grave
cheap, cool
rarer, younger
modest, weird
colder, rarest
lovely, old
latest, little
honest, strictest
low, lucky
hotter, later
farther, narrow
big, easiest
cool, proper
dry, smarter
freest, proper
good, short
poor, sound
cuter, poorer
broadest, lighter
lucky, strongest
hard, long
lucky, strange
dark, rarest
farther, lovely
freest, good
loud, strongest
fair, luckier
rare, widest
cute, narrower
broader, later
weak, wider
many, youngest
latter, long
fat, warmest
fair, fair
green, nice
closest, happy
busy, larger
clearest, high
proud, youngest
newest, newest
closest, earlier
safe, strong
higher, larger
interest, newer
longest, pretty
lesser, youngest
newest, subtle
old, small
cute, low
greatest, high
deader, faster
simple, wide
cooler, fairer
far, thinner
fair, tougher
fewer, lesser
brighter, later
happiest, many
fairest, light
clearest, happiest
busy, richer
poorer, smart
colder, lighter
fastest, grave
strange, young
hard, stranger
harder, little
cheaper, fastest
cool, strict
ever, warmer
deep, finest
easiest, wise
grave, luckier
more, noble
largest, nice
harder, kosher
lesser, prettier
happiest, latter
loud, quick
lighter, quiet
dark, rare
bigger, green
darker, grimmer
subtler, worse
prettier, smallest
higher, strange
broadest, quickest
another, long
narrow, youngest
cheaper, poorest
happiest, quicker
nobler, safer
newer, widest
cold, new
dry, proper
closest, narrow
fairest, richer
bad, cheaper
finest, smart
lovelier, taller
hotter, proper
cuter, prettier
higher, nice
hardest, noble
many, older
nicer, smallest
longer, weak
heavy, quick
firm, less
hardest, weird
cooler, smallest
shorter, stronger
cold, quieter
smaller, strongest
grave, strictest
cuter, greatest
little, weirder
pretty, safer
grim, rarer
grimmer, long
low, luckier
cheaper, lovely
better, easy
far, noble
closest, subtle
greater, nicer
good, hard
broader, nice
dense, rarest
large, lesser
simplest, taller
purer, tougher
another, hard
weakest, wide
big, pure
simplest, thin
dense, newer
another, upper
clearest, subtler
deepest, thinner
fairest, free
darkest, smarter
happiest, upper
fatter, subtle
freer, low
lighter, strongest
sound, sure
cute, proud
good, happier
poor, surer
highest, lowest
denser, nice
drier, worst
hardest, strictest
cold, some
largest, proud
high, nobler
dry, fatter
fatter, rich
shorter, smart
far, farther
deepest, weaker
few, pretty
cooler, few
honest, luckier
ever, faster
dead, latter
denser, lovelier
lighter, stricter
prettier, taller
higher, interest
clearer, fastest
cooler, noble
close, lower
darker, stranger
far, nice
short, thin
shortest, sounder
closest, easy
fair, heavier
lesser, newest
cheaper, truer
firmer, purer
bad, truer
nice, truer
richer, sound
deepest, subtle
broad, busier
cool, newest
hardest, heavier
easier, poorest
free, warmer
greatest, narrower
cuter, truer
denser, shortest
great, strange
greater, worse
cute, simplest
firmer, happy
farther, strictest
highest, weakest
largest, rare
far, safe
early, easier
bright, safer
busier, easier
easiest, slower
greener, rare
finest, great
easy, younger
fairer, purer
deepest, safest
latter, sure
